t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,6.260000000000000142e+01,3.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,6.260000000000000142e+01,3.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,6.265999999999999659e+01,3.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,6.270000000000000284e+01,3.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,6.275999999999999801e+01,3.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,6.272999999999999687e+01,3.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,6.275999999999999801e+01,3.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,6.278999999999999915e+01,3.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,6.278999999999999915e+01,3.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,6.278999999999999915e+01,3.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,6.278999999999999915e+01,7.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,6.278999999999999915e+01,7.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,6.278999999999999915e+01,7.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,6.278999999999999915e+01,7.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,6.278999999999999915e+01,7.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,6.278999999999999915e+01,7.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,6.278999999999999915e+01,7.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,6.278999999999999915e+01,7.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,6.278999999999999915e+01,7.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,6.282999999999999829e+01,7.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,6.282999999999999829e+01,7.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,6.289000000000000057e+01,7.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,6.285999999999999943e+01,3.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,6.295000000000000284e+01,3.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,6.302000000000000313e+01,3.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,6.307999999999999829e+01,3.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,6.307999999999999829e+01,3.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,3.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,3.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,3.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,3.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,3.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,3.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,3.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,3.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,3.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,6.314999999999999858e+01,3.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,6.311999999999999744e+01,3.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,6.317999999999999972e+01,3.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,6.324000000000000199e+01,3.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,6.336999999999999744e+01,3.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,6.336999999999999744e+01,3.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,6.343999999999999773e+01,3.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,6.343999999999999773e+01,3.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,6.343999999999999773e+01,3.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,6.343999999999999773e+01,3.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,6.343999999999999773e+01,3.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,6.343999999999999773e+01,3.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,6.353000000000000114e+01,3.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,6.350000000000000000e+01,3.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,6.360000000000000142e+01,3.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,6.363000000000000256e+01,3.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,6.375999999999999801e+01,3.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,6.370000000000000284e+01,3.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,6.375999999999999801e+01,3.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,6.375999999999999801e+01,3.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,6.375999999999999801e+01,3.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,6.375999999999999801e+01,3.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,6.375999999999999801e+01,3.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,6.375999999999999801e+01,3.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,6.375999999999999801e+01,3.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,6.378999999999999915e+01,3.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000000e+01,6.378999999999999915e+01,3.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,6.385999999999999943e+01,3.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,6.382000000000000028e+01,3.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,6.378999999999999915e+01,3.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,6.385999999999999943e+01,3.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,6.395000000000000284e+01,3.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,6.404999999999999716e+01,3.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,6.404999999999999716e+01,3.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
7.700000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
7.900000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
8.000000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
8.100000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
8.200000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
8.300000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
8.400000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
8.500000000000000000e+01,5.000000000000000000e+01,6.410999999999999943e+01,3.000000000000000000e+01
8.600000000000000000e+01,5.000000000000000000e+01,6.404999999999999716e+01,3.000000000000000000e+01
8.700000000000000000e+01,5.000000000000000000e+01,6.407999999999999829e+01,3.000000000000000000e+01
8.800000000000000000e+01,5.000000000000000000e+01,6.420999999999999375e+01,3.000000000000000000e+01
8.900000000000000000e+01,5.000000000000000000e+01,6.415000000000000568e+01,3.000000000000000000e+01
