t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,4.371000000000000085e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,4.364999999999999858e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,4.378000000000000114e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,4.367999999999999972e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,4.361999999999999744e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,4.349000000000000199e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,4.346000000000000085e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,4.349000000000000199e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,4.346000000000000085e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,4.346000000000000085e+01,5.000000000000000000e+01
1.000000000000000000e+01,7.000000000000000000e+01,4.346000000000000085e+01,5.000000000000000000e+01
1.100000000000000000e+01,7.000000000000000000e+01,4.352000000000000313e+01,5.000000000000000000e+01
1.200000000000000000e+01,7.000000000000000000e+01,4.361999999999999744e+01,5.000000000000000000e+01
1.300000000000000000e+01,7.000000000000000000e+01,4.349000000000000199e+01,5.000000000000000000e+01
1.400000000000000000e+01,7.000000000000000000e+01,4.346000000000000085e+01,5.000000000000000000e+01
1.500000000000000000e+01,7.000000000000000000e+01,4.346000000000000085e+01,5.000000000000000000e+01
1.600000000000000000e+01,7.000000000000000000e+01,4.352000000000000313e+01,5.000000000000000000e+01
1.700000000000000000e+01,7.000000000000000000e+01,4.375000000000000000e+01,5.000000000000000000e+01
1.800000000000000000e+01,7.000000000000000000e+01,4.378000000000000114e+01,5.000000000000000000e+01
1.900000000000000000e+01,7.000000000000000000e+01,4.407000000000000028e+01,5.000000000000000000e+01
2.000000000000000000e+01,7.000000000000000000e+01,4.410000000000000142e+01,5.000000000000000000e+01
2.100000000000000000e+01,7.000000000000000000e+01,4.410000000000000142e+01,5.000000000000000000e+01
2.200000000000000000e+01,7.000000000000000000e+01,4.417000000000000171e+01,5.000000000000000000e+01
2.300000000000000000e+01,7.000000000000000000e+01,4.422999999999999687e+01,5.000000000000000000e+01
2.400000000000000000e+01,7.000000000000000000e+01,4.446000000000000085e+01,5.000000000000000000e+01
2.500000000000000000e+01,7.000000000000000000e+01,4.475000000000000000e+01,5.000000000000000000e+01
2.600000000000000000e+01,7.000000000000000000e+01,4.471000000000000085e+01,5.000000000000000000e+01
2.700000000000000000e+01,7.000000000000000000e+01,4.481000000000000227e+01,5.000000000000000000e+01
2.800000000000000000e+01,7.000000000000000000e+01,4.507000000000000028e+01,5.000000000000000000e+01
2.900000000000000000e+01,7.000000000000000000e+01,4.510000000000000142e+01,5.000000000000000000e+01
3.000000000000000000e+01,7.000000000000000000e+01,4.520000000000000284e+01,5.000000000000000000e+01
3.100000000000000000e+01,7.000000000000000000e+01,4.539000000000000057e+01,5.000000000000000000e+01
3.200000000000000000e+01,7.000000000000000000e+01,4.539000000000000057e+01,5.000000000000000000e+01
3.300000000000000000e+01,7.000000000000000000e+01,4.571000000000000085e+01,5.000000000000000000e+01
3.400000000000000000e+01,7.000000000000000000e+01,4.586999999999999744e+01,5.000000000000000000e+01
3.500000000000000000e+01,7.000000000000000000e+01,4.607000000000000028e+01,5.000000000000000000e+01
3.600000000000000000e+01,7.000000000000000000e+01,4.615999999999999659e+01,5.000000000000000000e+01
3.700000000000000000e+01,7.000000000000000000e+01,4.635999999999999943e+01,5.000000000000000000e+01
3.800000000000000000e+01,7.000000000000000000e+01,4.635999999999999943e+01,5.000000000000000000e+01
3.900000000000000000e+01,7.000000000000000000e+01,4.657999999999999829e+01,5.000000000000000000e+01
4.000000000000000000e+01,7.000000000000000000e+01,4.674000000000000199e+01,5.000000000000000000e+01
4.100000000000000000e+01,7.000000000000000000e+01,4.696999999999999886e+01,5.000000000000000000e+01
4.200000000000000000e+01,7.000000000000000000e+01,4.707000000000000028e+01,5.000000000000000000e+01
4.300000000000000000e+01,7.000000000000000000e+01,4.732000000000000028e+01,5.000000000000000000e+01
4.400000000000000000e+01,7.000000000000000000e+01,4.749000000000000199e+01,5.000000000000000000e+01
4.500000000000000000e+01,7.000000000000000000e+01,4.764999999999999858e+01,5.000000000000000000e+01
4.600000000000000000e+01,7.000000000000000000e+01,4.771000000000000085e+01,5.000000000000000000e+01
4.700000000000000000e+01,7.000000000000000000e+01,4.796999999999999886e+01,5.000000000000000000e+01
4.800000000000000000e+01,7.000000000000000000e+01,4.803000000000000114e+01,5.000000000000000000e+01
4.900000000000000000e+01,7.000000000000000000e+01,4.828999999999999915e+01,5.000000000000000000e+01
5.000000000000000000e+01,7.000000000000000000e+01,4.847999999999999687e+01,5.000000000000000000e+01
5.100000000000000000e+01,7.000000000000000000e+01,4.857999999999999829e+01,5.000000000000000000e+01
5.200000000000000000e+01,7.000000000000000000e+01,4.864999999999999858e+01,5.000000000000000000e+01
5.300000000000000000e+01,7.000000000000000000e+01,4.889999999999999858e+01,5.000000000000000000e+01
5.400000000000000000e+01,7.000000000000000000e+01,4.896999999999999886e+01,5.000000000000000000e+01
5.500000000000000000e+01,7.000000000000000000e+01,4.922999999999999687e+01,5.000000000000000000e+01
5.600000000000000000e+01,7.000000000000000000e+01,4.925999999999999801e+01,5.000000000000000000e+01
5.700000000000000000e+01,7.000000000000000000e+01,4.925999999999999801e+01,5.000000000000000000e+01
5.800000000000000000e+01,7.000000000000000000e+01,4.954999999999999716e+01,5.000000000000000000e+01
5.900000000000000000e+01,7.000000000000000000e+01,4.974000000000000199e+01,5.000000000000000000e+01
