t,MV,MVP,MVI,MVD,MV_FF,SP,PV,DV,Man,
9.989999999999999991e-01,7.000000000000000000e+01,1.019500000000000028e+02,-5.156000000000000227e+01,0.000000000000000000e+00,1.960999999999999943e+01,4.000000000000000000e+01,1.960999999999999943e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.000999999999999890e+00,7.000000000000000000e+01,1.019500000000000028e+02,-5.145979560551865006e+01,0.000000000000000000e+00,1.950979560551865077e+01,4.000000000000000000e+01,1.960999999999999943e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.001199999999999868e+00,7.000000000000000000e+01,1.019500000000000028e+02,-5.136010324166826990e+01,0.000000000000000000e+00,1.941010324166827061e+01,4.000000000000000000e+01,1.960999999999999943e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.003199999999999648e+00,7.000000000000000000e+01,1.019500000000000028e+02,-3.813592029204298939e+01,0.000000000000000000e+00,6.185920292042987434e+00,4.000000000000000000e+01,1.960999999999999943e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.002399999999999736e+00,7.000000000000000000e+01,1.019500000000000028e+02,-3.803724415360638744e+01,0.000000000000000000e+00,6.087244153606385488e+00,4.000000000000000000e+01,1.964000000000000057e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.003899999999999793e+00,7.000000000000000000e+01,1.017999999999999972e+02,-3.778907223662321258e+01,0.000000000000000000e+00,5.989072236623215417e+00,4.000000000000000000e+01,1.964000000000000057e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.003899999999999793e+00,7.000000000000000000e+01,1.017999999999999972e+02,-3.769140196459141379e+01,0.000000000000000000e+00,5.891401964591416629e+00,4.000000000000000000e+01,1.971000000000000085e+01,7.000000000000000000e+01,1.000000000000000000e+00
8.004400000000000404e+00,7.000000000000000000e+01,1.014499999999999886e+02,-3.724423077417448269e+01,0.000000000000000000e+00,5.794230774174495835e+00,4.000000000000000000e+01,1.989999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
9.005100000000000549e+00,7.000000000000000000e+01,1.005000000000000000e+02,-3.619755611513425464e+01,0.000000000000000000e+00,5.697556115134257304e+00,4.000000000000000000e+01,1.989999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.000530000000000008e+01,7.000000000000000000e+01,1.005000000000000000e+02,-3.610137545026387329e+01,0.000000000000000000e+00,5.601375450263873290e+00,4.000000000000000000e+01,1.992999999999999972e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.100629999999999953e+01,7.000000000000001421e+01,1.003499999999999943e+02,-3.585568625532128095e+01,0.000000000000000000e+00,5.505686255321288414e+00,4.000000000000000000e+01,1.992999999999999972e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.200549999999999962e+01,7.000000000000000000e+01,1.003499999999999943e+02,-3.576048601896297185e+01,0.000000000000000000e+00,5.410486018962979315e+00,4.000000000000000000e+01,1.996000000000000085e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.300750000000000028e+01,7.000000000000000000e+01,1.001999999999999886e+02,-3.551577224267802535e+01,0.000000000000000000e+00,5.315772242678037607e+00,4.000000000000000000e+01,2.000000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.400789999999999935e+01,7.000000000000000000e+01,1.000000000000000000e+02,-3.522154244072260809e+01,0.000000000000000000e+00,5.221542440722606315e+00,4.000000000000000000e+01,2.021999999999999886e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.500890000000000057e+01,7.000000000000000000e+01,9.890000000000000568e+01,-3.402779414005463821e+01,0.000000000000000000e+00,5.127794140054631633e+00,4.000000000000000000e+01,2.025000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.600870000000000104e+01,6.999999999999998579e+01,9.875000000000000000e+01,-3.378452488026896816e+01,0.000000000000000000e+00,5.034524880268966385e+00,4.000000000000000000e+01,2.032000000000000028e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.704400000000000048e+01,7.000000000000000000e+01,9.840000000000000568e+01,-3.334173221353280070e+01,0.000000000000000000e+00,4.941732213532795015e+00,4.000000000000000000e+01,2.048000000000000043e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.804420000000000002e+01,7.000000000000000000e+01,9.759999999999999432e+01,-3.244941370452137619e+01,0.000000000000000000e+00,4.849413704521385426e+00,4.000000000000000000e+01,2.057999999999999829e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.904449999999999932e+01,7.000000000000000000e+01,9.710000000000000853e+01,-3.185756693035419218e+01,0.000000000000000000e+00,4.757566930354184542e+00,4.000000000000000000e+01,2.064000000000000057e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.004449999999999932e+01,7.000000000000000000e+01,9.679999999999999716e+01,-3.146618948053121656e+01,0.000000000000000000e+00,4.666189480531219402e+00,4.000000000000000000e+01,2.087000000000000099e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.104459999999999908e+01,6.999999999999998579e+01,9.564999999999999147e+01,-3.022527895686983612e+01,0.000000000000000000e+00,4.575278956869843761e+00,4.000000000000000000e+01,2.089999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.204439999999999955e+01,7.000000000000000000e+01,9.550000000000000000e+01,-2.998483297344179022e+01,0.000000000000000000e+00,4.484832973441791992e+00,4.000000000000000000e+01,2.100000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00
